IP Range,Country,Region,City,Postal Code
20.202.236.0/24,NL,,AMSTERDAM,
20.202.248.0/24,NL,,AMSTERDAM,
20.202.250.0/23,NL,,AMSTERDAM,
20.209.10.0/23,NL,,AMSTERDAM,
20.209.48.0/23,NL,,AMSTERDAM,
20.209.72.0/23,NL,,AMSTERDAM,
20.209.76.0/23,NL,,AMSTERDAM,
20.209.108.0/23,NL,,AMSTERDAM,
20.209.192.0/23,NL,,AMSTERDAM,
20.209.230.0/23,NL,,AMSTERDAM,
20.224.0.0/16,NL,,AMSTERDAM,
20.229.0.0/16,NL,,AMSTERDAM,
20.234.128.0/17,NL,,AMSTERDAM,
20.238.128.0/17,NL,,AMSTERDAM,
23.97.128.0/17,NL,,AMSTERDAM,
23.98.46.0/24,NL,,AMSTERDAM,
23.100.0.0/20,NL,,AMSTERDAM,
23.101.64.0/20,NL,,AMSTERDAM,
23.103.131.160/27,NL,,AMSTERDAM,
23.103.132.80/28,NL,,AMSTERDAM,
23.103.132.240/28,NL,,AMSTERDAM,
23.103.134.96/27,NL,,AMSTERDAM,
23.103.135.128/29,NL,,AMSTERDAM,
23.103.135.168/29,NL,,AMSTERDAM,
23.103.144.128/27,NL,,AMSTERDAM,
23.103.144.192/27,NL,,AMSTERDAM,
23.103.149.96/27,NL,,AMSTERDAM,
23.103.182.128/26,NL,,AMSTERDAM,
23.103.224.0/24,NL,,AMSTERDAM,
40.64.144.32/27,NL,,AMSTERDAM,
40.64.172.128/25,NL,,AMSTERDAM,
40.66.14.0/23,NL,,AMSTERDAM,
40.66.64.8/29,NL,,AMSTERDAM,
40.66.116.0/23,NL,,AMSTERDAM,
40.67.192.0/19,NL,,AMSTERDAM,
40.68.0.0/16,NL,,AMSTERDAM,
40.74.0.0/18,NL,,AMSTERDAM,
40.74.8.89/32,NL,,AMSTERDAM,
40.74.36.93/32,NL,,AMSTERDAM,
40.78.210.0/24,NL,,AMSTERDAM,
40.79.205.192/27,NL,,AMSTERDAM,
40.79.205.224/28,NL,,AMSTERDAM,
40.79.206.0/27,NL,,AMSTERDAM,
40.82.92.0/22,NL,,AMSTERDAM,
40.87.184.0/22,NL,,AMSTERDAM,
40.90.17.64/27,NL,,AMSTERDAM,
40.90.18.192/26,NL,,AMSTERDAM,
40.90.20.128/25,NL,,AMSTERDAM,
40.90.21.0/25,NL,,AMSTERDAM,
40.90.130.0/27,NL,,AMSTERDAM,
40.90.133.0/27,NL,,AMSTERDAM,
40.90.134.64/26,NL,,AMSTERDAM,
40.90.134.128/26,NL,,AMSTERDAM,
40.90.138.0/27,NL,,AMSTERDAM,
40.90.141.32/27,NL,,AMSTERDAM,
40.90.141.160/27,NL,,AMSTERDAM,
40.90.142.224/28,NL,,AMSTERDAM,
40.90.144.192/27,NL,,AMSTERDAM,
40.90.145.192/27,NL,,AMSTERDAM,
40.90.146.16/28,NL,,AMSTERDAM,
40.90.146.128/27,NL,,AMSTERDAM,
40.90.150.128/25,NL,,AMSTERDAM,
40.90.157.64/26,NL,,AMSTERDAM,
40.90.159.0/24,NL,,AMSTERDAM,
40.91.28.0/22,NL,,AMSTERDAM,
40.91.192.0/18,NL,,AMSTERDAM,
40.92.16.0/24,NL,,AMSTERDAM,
40.92.49.0/24,NL,,AMSTERDAM,
40.92.59.0/24,NL,,AMSTERDAM,
40.92.67.0/24,NL,,AMSTERDAM,
40.92.70.0/24,NL,,AMSTERDAM,
40.92.79.0/24,NL,,AMSTERDAM,
40.92.91.0/24,NL,,AMSTERDAM,
40.93.65.0/24,NL,,AMSTERDAM,
40.94.68.0/24,NL,,AMSTERDAM,
40.94.71.0/24,NL,,AMSTERDAM,
40.94.73.0/24,NL,,AMSTERDAM,
40.94.74.0/24,NL,,AMSTERDAM,
40.94.77.0/24,NL,,AMSTERDAM,
40.94.78.0/24,NL,,AMSTERDAM,
40.94.87.0/25,NL,,AMSTERDAM,
40.94.88.0/25,NL,,AMSTERDAM,
40.94.89.0/25,NL,,AMSTERDAM,
40.94.90.0/25,NL,,AMSTERDAM,
40.94.92.0/25,NL,,AMSTERDAM,
40.95.51.0/24,NL,,AMSTERDAM,
40.95.60.0/24,NL,,AMSTERDAM,
40.95.67.0/24,NL,,AMSTERDAM,
40.95.70.0/24,NL,,AMSTERDAM,
40.95.90.0/24,NL,,AMSTERDAM,
40.95.93.0/24,NL,,AMSTERDAM,
40.96.13.40/29,NL,,AMSTERDAM,
40.96.13.48/28,NL,,AMSTERDAM,
40.96.13.64/27,NL,,AMSTERDAM,
40.96.16.64/28,NL,,AMSTERDAM,
40.96.21.240/28,NL,,AMSTERDAM,
40.99.144.96/27,NL,,AMSTERDAM,
